Rule,ChatGPT,StackOverflow
AssignmentInOperand,8,5
AssignmentToNonFinalStatic,1,0
AvoidAccessibilityAlteration,3,1
AvoidBranchingStatementAsLastInLoop,0,1
AvoidCatchingNPE,1,0
AvoidCatchingThrowable,1,7
AvoidDecimalLiteralsInBigDecimalConstructor,1,0
AvoidDuplicateLiterals,8,13
AvoidFieldNameMatchingMethodName,7,10
AvoidFieldNameMatchingTypeName,4,3
AvoidLiteralsInIfCondition,40,32
CloneMethodReturnTypeMustMatchClassName,0,1
CloseResource,39,57
CompareObjectsWithEquals,2,2
ConstructorCallsOverridableMethod,30,39
DoNotCallGarbageCollectionExplicitly,0,1
DoNotTerminateVM,3,4
DoNotThrowExceptionInFinally,0,1
DontImportSun,0,1
EmptyCatchBlock,1,1
MethodWithSameNameAsEnclosingClass,0,1
MissingSerialVersionUID,12,23
MissingStaticMethodInNonInstantiatableClass,0,1
NonSerializableClass,1,6
NonStaticInitializer,0,1
NullAssignment,4,2
ReturnEmptyCollectionRatherThanNull,4,1
SimpleDateFormatNeedsLocale,5,0
TestClassWithoutTestCases,25,51
UnnecessaryCaseChange,0,2
UseLocaleWithCaseConversions,2,6
